date,station_id,surface_ha,rainfall_mm,temp_max_c,water_deficit_mm
2010-08-02,cabra,52000,0.0,36.4,0.0
2010-08-02,cordoba_capital,140000,0.0,38.5,0.0
2010-08-02,ecija,42000,0.0,38.5,0.0
2010-08-02,granada_capital,55000,0.0,35.5,0.0
2010-08-02,jaen_capital,165000,0.0,37.1,0.0
2010-08-02,linares,45000,0.0,37.7,0.0
2010-08-02,lucena,88000,0.0,35.4,0.0
2010-08-02,martos,68000,0.0,35.6,0.0
2010-08-02,sevilla_capital,75000,0.0,38.2,0.0
2010-08-02,ubeda,98000,0.0,35.7,0.0
2010-08-09,antequera,35000,0.0,37.2,0.0
2010-08-09,baeza,72000,0.0,34.6,0.0
2010-08-09,baza,28000,0.0,34.6,0.0
2010-08-09,cabra,52000,0.0,37.4,0.0
2010-08-09,cordoba_capital,140000,0.0,40.5,0.0
2010-08-09,ecija,42000,0.0,40.9,0.0
2010-08-09,granada_capital,55000,0.0,35.4,0.0
2010-08-09,jaen_capital,165000,0.0,36.9,0.0
2010-08-09,linares,45000,0.0,37.2,0.0
2010-08-09,lucena,88000,0.0,37.2,0.0
2010-08-09,martos,68000,0.0,35.9,0.0
2010-08-09,sevilla_capital,75000,0.0,41.5,0.0
2010-08-09,ubeda,98000,0.0,34.9,0.0
2010-08-16,antequera,35000,0.0,32.7,0.0
2010-08-16,baeza,72000,0.0,32.5,0.0
2010-08-16,baza,28000,0.0,32.7,0.0
2010-08-16,cabra,52000,0.0,36.0,0.0
2010-08-16,cordoba_capital,140000,0.0,38.1,0.0
2010-08-16,ecija,42000,0.0,38.7,0.0
2010-08-16,granada_capital,55000,0.0,34.3,0.0
2010-08-16,jaen_capital,165000,0.0,34.9,0.0
2010-08-16,linares,45000,0.0,35.8,0.0
2010-08-16,lucena,88000,0.0,34.9,0.0
2010-08-16,martos,68000,0.0,34.4,0.0
2010-08-16,sevilla_capital,75000,0.0,37.8,0.0
2010-08-16,ubeda,98000,0.0,32.8,0.0
2010-08-23,antequera,35000,0.0,38.5,0.0
2010-08-23,baeza,72000,0.0,37.2,0.0
2010-08-23,baza,28000,0.0,36.6,0.0
2010-08-23,cabra,52000,0.0,40.3,0.0
2010-08-23,cordoba_capital,140000,0.0,42.3,0.0
2010-08-23,ecija,42000,0.0,43.4,0.0
2010-08-23,granada_capital,55000,0.0,38.2,0.0
2010-08-23,jaen_capital,165000,0.0,39.7,0.0
2010-08-23,linares,45000,0.0,40.0,0.0
2010-08-23,lucena,88000,0.0,38.8,0.0
2010-08-23,martos,68000,0.0,38.8,0.0
2010-08-23,sevilla_capital,75000,0.0,42.0,0.0
2010-08-23,ubeda,98000,0.0,37.7,0.0
2010-08-30,antequera,35000,0.0,32.2,0.0
2010-08-30,baeza,72000,0.0,33.7,0.0
2010-08-30,baza,28000,0.0,33.0,0.0
2010-08-30,cabra,52000,0.0,36.4,0.0
2010-08-30,cordoba_capital,140000,0.0,38.5,0.0
2010-08-30,ecija,42000,0.0,38.8,0.0
2010-08-30,granada_capital,55000,0.0,34.4,0.0
2010-08-30,jaen_capital,165000,0.0,35.2,0.0
2010-08-30,linares,45000,0.0,36.7,0.0
2010-08-30,lucena,88000,0.0,35.5,0.0
2010-08-30,martos,68000,0.0,34.5,0.0
2010-08-30,sevilla_capital,75000,0.0,39.0,0.0
2010-08-30,ubeda,98000,0.0,34.2,0.0
2010-09-06,antequera,35000,0.0,30.8,0.0
2010-09-06,baeza,72000,0.0,31.7,0.0
2010-09-06,baza,28000,0.0,31.2,0.0
2010-09-06,cabra,52000,0.0,33.2,0.0
